period_end,gti
2021-06-22 20:15:00-05:00,7
2021-06-22 20:30:00-05:00,2
2021-06-22 20:45:00-05:00,0
2021-06-22 21:00:00-05:00,0
2021-06-22 21:15:00-05:00,0
2021-06-22 21:30:00-05:00,0
2021-06-22 21:45:00-05:00,0
2021-06-22 22:00:00-05:00,0
2021-06-22 22:15:00-05:00,0
2021-06-22 22:30:00-05:00,0
2021-06-22 22:45:00-05:00,0
2021-06-22 23:00:00-05:00,0
2021-06-22 23:15:00-05:00,0
2021-06-22 23:30:00-05:00,0
2021-06-22 23:45:00-05:00,0
2021-06-23 00:00:00-05:00,0
