period_end,ghi
2023-07-14 12:30:00-05:00,58
2023-07-14 13:00:00-05:00,205
2023-07-14 13:30:00-05:00,405
2023-07-14 14:00:00-05:00,604
2023-07-14 14:30:00-05:00,863
2023-07-14 15:00:00-05:00,529
2023-07-14 15:30:00-05:00,459
2023-07-14 16:00:00-05:00,630
2023-07-14 16:30:00-05:00,605
2023-07-14 17:00:00-05:00,582
2023-07-14 17:30:00-05:00,518
2023-07-14 18:00:00-05:00,402
2023-07-14 18:30:00-05:00,289
2023-07-14 19:00:00-05:00,182
2023-07-14 19:30:00-05:00,83
2023-07-14 20:00:00-05:00,19
2023-07-14 20:30:00-05:00,2
2023-07-14 21:00:00-05:00,0
2023-07-14 21:30:00-05:00,0
2023-07-14 22:00:00-05:00,0
2023-07-14 22:30:00-05:00,0
2023-07-14 23:00:00-05:00,0
2023-07-14 23:30:00-05:00,0
2023-07-15 00:00:00-05:00,0
2023-07-15 00:30:00-05:00,0
2023-07-15 01:00:00-05:00,0
2023-07-15 01:30:00-05:00,0
2023-07-15 02:00:00-05:00,0
2023-07-15 02:30:00-05:00,0
2023-07-15 03:00:00-05:00,0
2023-07-15 03:30:00-05:00,0
2023-07-15 04:00:00-05:00,0
2023-07-15 04:30:00-05:00,0
2023-07-15 05:00:00-05:00,0
2023-07-15 05:30:00-05:00,0
2023-07-15 06:00:00-05:00,0
2023-07-15 06:30:00-05:00,12
2023-07-15 07:00:00-05:00,31
2023-07-15 07:30:00-05:00,97
2023-07-15 08:00:00-05:00,163
2023-07-15 08:30:00-05:00,328
2023-07-15 09:00:00-05:00,272
2023-07-15 09:30:00-05:00,511
2023-07-15 10:00:00-05:00,342
2023-07-15 10:30:00-05:00,393
2023-07-15 11:00:00-05:00,129
2023-07-15 11:30:00-05:00,124
2023-07-15 12:00:00-05:00,155
2023-07-15 12:30:00-05:00,385
2023-07-15 13:00:00-05:00,387
2023-07-15 13:30:00-05:00,876
2023-07-15 14:00:00-05:00,559
2023-07-15 14:30:00-05:00,523
2023-07-15 15:00:00-05:00,763
2023-07-15 15:30:00-05:00,291
2023-07-15 16:00:00-05:00,365
2023-07-15 16:30:00-05:00,636
2023-07-15 17:00:00-05:00,411
2023-07-15 17:30:00-05:00,305
2023-07-15 18:00:00-05:00,323
2023-07-15 18:30:00-05:00,192
2023-07-15 19:00:00-05:00,32
2023-07-15 19:30:00-05:00,31
2023-07-15 20:00:00-05:00,10
2023-07-15 20:30:00-05:00,4
2023-07-15 21:00:00-05:00,0
2023-07-15 21:30:00-05:00,0
2023-07-15 22:00:00-05:00,0
2023-07-15 22:30:00-05:00,0
2023-07-15 23:00:00-05:00,0
2023-07-15 23:30:00-05:00,0
2023-07-16 00:00:00-05:00,0
2023-07-16 00:30:00-05:00,0
2023-07-16 01:00:00-05:00,0
2023-07-16 01:30:00-05:00,0
2023-07-16 02:00:00-05:00,0
2023-07-16 02:30:00-05:00,0
2023-07-16 03:00:00-05:00,0
2023-07-16 03:30:00-05:00,0
2023-07-16 04:00:00-05:00,0
2023-07-16 04:30:00-05:00,0
2023-07-16 05:00:00-05:00,0
2023-07-16 05:30:00-05:00,0
2023-07-16 06:00:00-05:00,0
2023-07-16 06:30:00-05:00,8
2023-07-16 07:00:00-05:00,25
2023-07-16 07:30:00-05:00,75
2023-07-16 08:00:00-05:00,207
2023-07-16 08:30:00-05:00,325
2023-07-16 09:00:00-05:00,434
2023-07-16 09:30:00-05:00,509
2023-07-16 10:00:00-05:00,593
2023-07-16 10:30:00-05:00,658
2023-07-16 11:00:00-05:00,734
2023-07-16 11:30:00-05:00,786
2023-07-16 12:00:00-05:00,786
2023-07-16 12:30:00-05:00,823
2023-07-16 13:00:00-05:00,820
