period_start,ghi
2021-05-15 16:15:00,578.86
2021-05-15 16:20:00,434.52
2021-05-15 16:25:00,505.88
2021-05-15 16:30:00,605.54
2021-05-15 16:35:00,654.42
2021-05-15 16:40:00,657.5
2021-05-15 16:45:00,585.64
2021-05-15 16:50:00,302.1
2021-05-15 16:55:00,556.9399999999999
2021-05-15 17:00:00,559.0400000000001
2021-05-15 17:05:00,535.0
2021-05-15 17:10:00,505.76000000000005
2021-05-15 17:15:00,474.9
2021-05-15 17:20:00,465.96000000000004
2021-05-15 17:25:00,450.48
2021-05-15 17:30:00,422.28000000000003
2021-05-15 17:35:00,369.68
2021-05-15 17:40:00,383.52
2021-05-15 17:45:00,359.0
2021-05-15 17:50:00,339.86
2021-05-15 17:55:00,331.02
2021-05-15 18:00:00,324.94
2021-05-15 18:05:00,321.04
2021-05-15 18:10:00,297.71999999999997
2021-05-15 18:15:00,265.15999999999997
2021-05-15 18:20:00,101.72
2021-05-15 18:25:00,92.76
2021-05-15 18:30:00,133.42000000000002
2021-05-15 18:35:00,165.4
2021-05-15 18:40:00,175.7
2021-05-15 18:45:00,164.62
2021-05-15 18:50:00,154.9
2021-05-15 18:55:00,117.78
2021-05-15 19:00:00,120.7
2021-05-15 19:05:00,100.28
2021-05-15 19:10:00,79.08
2021-05-15 19:15:00,70.64
2021-05-15 19:20:00,57.8
2021-05-15 19:25:00,43.260000000000005
2021-05-15 19:30:00,32.660000000000004
2021-05-15 19:35:00,21.619999999999997
2021-05-15 19:40:00,15.040000000000001
2021-05-15 19:45:00,10.5
2021-05-15 19:50:00,6.5
2021-05-15 19:55:00,3.8600000000000003
2021-05-15 20:00:00,1.7399999999999998
2021-05-15 20:05:00,0.54
2021-05-15 20:10:00,0.36
2021-05-15 20:15:00,0.0
2021-05-15 20:20:00,0.0
2021-05-15 20:25:00,0.0
2021-05-15 20:30:00,0.0
2021-05-15 20:35:00,0.0
2021-05-15 20:40:00,0.0
2021-05-15 20:45:00,0.0
2021-05-15 20:50:00,0.0
2021-05-15 20:55:00,0.0
2021-05-15 21:00:00,0.0
2021-05-15 21:05:00,0.0
2021-05-15 21:10:00,0.0
2021-05-15 21:15:00,0.0
2021-05-15 21:20:00,0.0
2021-05-15 21:25:00,0.0
2021-05-15 21:30:00,0.0
2021-05-15 21:35:00,0.0
2021-05-15 21:40:00,0.0
2021-05-15 21:45:00,0.0
2021-05-15 21:50:00,0.0
2021-05-15 21:55:00,0.0
2021-05-15 22:00:00,0.0
2021-05-15 22:05:00,0.0
2021-05-15 22:10:00,0.0
2021-05-15 22:15:00,0.0
2021-05-15 22:20:00,0.0
2021-05-15 22:25:00,0.0
2021-05-15 22:30:00,0.0
2021-05-15 22:35:00,0.0
2021-05-15 22:40:00,0.0
2021-05-15 22:45:00,0.0
2021-05-15 22:50:00,0.0
