period_end,ghi
2023-07-13 12:30:00-05:00,671
2023-07-13 13:00:00-05:00,742
2023-07-13 13:30:00-05:00,569
2023-07-13 14:00:00-05:00,553
2023-07-13 14:30:00-05:00,825
2023-07-13 15:00:00-05:00,829
2023-07-13 15:30:00-05:00,755
2023-07-13 16:00:00-05:00,659
2023-07-13 16:30:00-05:00,669
2023-07-13 17:00:00-05:00,558
2023-07-13 17:30:00-05:00,493
2023-07-13 18:00:00-05:00,395
2023-07-13 18:30:00-05:00,294
2023-07-13 19:00:00-05:00,196
2023-07-13 19:30:00-05:00,107
2023-07-13 20:00:00-05:00,36
2023-07-13 20:30:00-05:00,1
2023-07-13 21:00:00-05:00,0
2023-07-13 21:30:00-05:00,0
2023-07-13 22:00:00-05:00,0
2023-07-13 22:30:00-05:00,0
2023-07-13 23:00:00-05:00,0
2023-07-13 23:30:00-05:00,0
2023-07-14 00:00:00-05:00,0
2023-07-14 00:30:00-05:00,0
2023-07-14 01:00:00-05:00,0
2023-07-14 01:30:00-05:00,0
2023-07-14 02:00:00-05:00,0
2023-07-14 02:30:00-05:00,0
2023-07-14 03:00:00-05:00,0
2023-07-14 03:30:00-05:00,0
2023-07-14 04:00:00-05:00,0
2023-07-14 04:30:00-05:00,0
2023-07-14 05:00:00-05:00,0
2023-07-14 05:30:00-05:00,0
2023-07-14 06:00:00-05:00,0
2023-07-14 06:30:00-05:00,10
2023-07-14 07:00:00-05:00,26
2023-07-14 07:30:00-05:00,65
2023-07-14 08:00:00-05:00,121
2023-07-14 08:30:00-05:00,181
2023-07-14 09:00:00-05:00,225
2023-07-14 09:30:00-05:00,316
2023-07-14 10:00:00-05:00,267
2023-07-14 10:30:00-05:00,383
2023-07-14 11:00:00-05:00,337
2023-07-14 11:30:00-05:00,394
2023-07-14 12:00:00-05:00,360
2023-07-14 12:30:00-05:00,401
2023-07-14 13:00:00-05:00,339
2023-07-14 13:30:00-05:00,665
2023-07-14 14:00:00-05:00,751
2023-07-14 14:30:00-05:00,735
2023-07-14 15:00:00-05:00,827
2023-07-14 15:30:00-05:00,577
2023-07-14 16:00:00-05:00,485
2023-07-14 16:30:00-05:00,483
2023-07-14 17:00:00-05:00,369
2023-07-14 17:30:00-05:00,424
2023-07-14 18:00:00-05:00,360
2023-07-14 18:30:00-05:00,285
2023-07-14 19:00:00-05:00,169
2023-07-14 19:30:00-05:00,68
2023-07-14 20:00:00-05:00,20
2023-07-14 20:30:00-05:00,1
2023-07-14 21:00:00-05:00,0
2023-07-14 21:30:00-05:00,0
2023-07-14 22:00:00-05:00,0
2023-07-14 22:30:00-05:00,0
2023-07-14 23:00:00-05:00,0
2023-07-14 23:30:00-05:00,0
2023-07-15 00:00:00-05:00,0
2023-07-15 00:30:00-05:00,0
2023-07-15 01:00:00-05:00,0
2023-07-15 01:30:00-05:00,0
2023-07-15 02:00:00-05:00,0
2023-07-15 02:30:00-05:00,0
2023-07-15 03:00:00-05:00,0
2023-07-15 03:30:00-05:00,0
2023-07-15 04:00:00-05:00,0
2023-07-15 04:30:00-05:00,0
2023-07-15 05:00:00-05:00,0
2023-07-15 05:30:00-05:00,0
2023-07-15 06:00:00-05:00,0
2023-07-15 06:30:00-05:00,1
2023-07-15 07:00:00-05:00,17
2023-07-15 07:30:00-05:00,142
2023-07-15 08:00:00-05:00,225
2023-07-15 08:30:00-05:00,283
2023-07-15 09:00:00-05:00,322
2023-07-15 09:30:00-05:00,369
2023-07-15 10:00:00-05:00,591
2023-07-15 10:30:00-05:00,237
2023-07-15 11:00:00-05:00,89
2023-07-15 11:30:00-05:00,153
2023-07-15 12:00:00-05:00,137
2023-07-15 12:30:00-05:00,236
2023-07-15 13:00:00-05:00,497
2023-07-15 13:30:00-05:00,479
2023-07-15 14:00:00-05:00,729
2023-07-15 14:30:00-05:00,533
2023-07-15 15:00:00-05:00,514
2023-07-15 15:30:00-05:00,359
2023-07-15 16:00:00-05:00,250
2023-07-15 16:30:00-05:00,542
2023-07-15 17:00:00-05:00,438
2023-07-15 17:30:00-05:00,379
2023-07-15 18:00:00-05:00,352
2023-07-15 18:30:00-05:00,274
2023-07-15 19:00:00-05:00,177
2023-07-15 19:30:00-05:00,53
2023-07-15 20:00:00-05:00,10
2023-07-15 20:30:00-05:00,0
2023-07-15 21:00:00-05:00,0
2023-07-15 21:30:00-05:00,0
2023-07-15 22:00:00-05:00,0
2023-07-15 22:30:00-05:00,0
2023-07-15 23:00:00-05:00,0
2023-07-15 23:30:00-05:00,0
2023-07-16 00:00:00-05:00,0
2023-07-16 00:30:00-05:00,0
2023-07-16 01:00:00-05:00,0
2023-07-16 01:30:00-05:00,0
2023-07-16 02:00:00-05:00,0
2023-07-16 02:30:00-05:00,0
2023-07-16 03:00:00-05:00,0
2023-07-16 03:30:00-05:00,0
2023-07-16 04:00:00-05:00,0
2023-07-16 04:30:00-05:00,0
2023-07-16 05:00:00-05:00,0
2023-07-16 05:30:00-05:00,0
2023-07-16 06:00:00-05:00,0
2023-07-16 06:30:00-05:00,14
2023-07-16 07:00:00-05:00,53
2023-07-16 07:30:00-05:00,134
2023-07-16 08:00:00-05:00,198
2023-07-16 08:30:00-05:00,269
2023-07-16 09:00:00-05:00,374
2023-07-16 09:30:00-05:00,441
2023-07-16 10:00:00-05:00,543
2023-07-16 10:30:00-05:00,722
2023-07-16 11:00:00-05:00,757
2023-07-16 11:30:00-05:00,853
2023-07-16 12:00:00-05:00,840
2023-07-16 12:30:00-05:00,844
2023-07-16 13:00:00-05:00,826
2023-07-16 13:30:00-05:00,873
2023-07-16 14:00:00-05:00,811
2023-07-16 14:30:00-05:00,761
2023-07-16 15:00:00-05:00,716
2023-07-16 15:30:00-05:00,644
2023-07-16 16:00:00-05:00,595
2023-07-16 16:30:00-05:00,513
2023-07-16 17:00:00-05:00,446
2023-07-16 17:30:00-05:00,329
2023-07-16 18:00:00-05:00,135
2023-07-16 18:30:00-05:00,143
2023-07-16 19:00:00-05:00,62
2023-07-16 19:30:00-05:00,32
2023-07-16 20:00:00-05:00,9
2023-07-16 20:30:00-05:00,0
2023-07-16 21:00:00-05:00,0
2023-07-16 21:30:00-05:00,0
2023-07-16 22:00:00-05:00,0
2023-07-16 22:30:00-05:00,0
2023-07-16 23:00:00-05:00,0
2023-07-16 23:30:00-05:00,0
2023-07-17 00:00:00-05:00,0
2023-07-17 00:30:00-05:00,0
2023-07-17 01:00:00-05:00,0
2023-07-17 01:30:00-05:00,0
2023-07-17 02:00:00-05:00,0
2023-07-17 02:30:00-05:00,0
2023-07-17 03:00:00-05:00,0
2023-07-17 03:30:00-05:00,0
2023-07-17 04:00:00-05:00,0
2023-07-17 04:30:00-05:00,0
2023-07-17 05:00:00-05:00,0
2023-07-17 05:30:00-05:00,0
2023-07-17 06:00:00-05:00,0
2023-07-17 06:30:00-05:00,13
2023-07-17 07:00:00-05:00,68
2023-07-17 07:30:00-05:00,145
2023-07-17 08:00:00-05:00,236
2023-07-17 08:30:00-05:00,334
2023-07-17 09:00:00-05:00,419
2023-07-17 09:30:00-05:00,532
2023-07-17 10:00:00-05:00,626
2023-07-17 10:30:00-05:00,713
2023-07-17 11:00:00-05:00,738
2023-07-17 11:30:00-05:00,849
2023-07-17 12:00:00-05:00,896
2023-07-17 12:30:00-05:00,877
2023-07-17 13:00:00-05:00,875
2023-07-17 13:30:00-05:00,956
2023-07-17 14:00:00-05:00,946
2023-07-17 14:30:00-05:00,919
2023-07-17 15:00:00-05:00,878
2023-07-17 15:30:00-05:00,825
2023-07-17 16:00:00-05:00,758
2023-07-17 16:30:00-05:00,681
2023-07-17 17:00:00-05:00,593
2023-07-17 17:30:00-05:00,499
2023-07-17 18:00:00-05:00,400
2023-07-17 18:30:00-05:00,300
2023-07-17 19:00:00-05:00,201
2023-07-17 19:30:00-05:00,66
2023-07-17 20:00:00-05:00,13
2023-07-17 20:30:00-05:00,1
2023-07-17 21:00:00-05:00,0
2023-07-17 21:30:00-05:00,0
2023-07-17 22:00:00-05:00,0
2023-07-17 22:30:00-05:00,0
2023-07-17 23:00:00-05:00,0
2023-07-17 23:30:00-05:00,0
2023-07-18 00:00:00-05:00,0
2023-07-18 00:30:00-05:00,0
2023-07-18 01:00:00-05:00,0
2023-07-18 01:30:00-05:00,0
2023-07-18 02:00:00-05:00,0
2023-07-18 02:30:00-05:00,0
2023-07-18 03:00:00-05:00,0
2023-07-18 03:30:00-05:00,0
2023-07-18 04:00:00-05:00,0
2023-07-18 04:30:00-05:00,0
2023-07-18 05:00:00-05:00,0
2023-07-18 05:30:00-05:00,0
2023-07-18 06:00:00-05:00,0
2023-07-18 06:30:00-05:00,15
2023-07-18 07:00:00-05:00,64
2023-07-18 07:30:00-05:00,100
2023-07-18 08:00:00-05:00,226
2023-07-18 08:30:00-05:00,150
2023-07-18 09:00:00-05:00,119
2023-07-18 09:30:00-05:00,511
2023-07-18 10:00:00-05:00,580
2023-07-18 10:30:00-05:00,647
2023-07-18 11:00:00-05:00,662
2023-07-18 11:30:00-05:00,846
2023-07-18 12:00:00-05:00,884
2023-07-18 12:30:00-05:00,915
2023-07-18 13:00:00-05:00,944
2023-07-18 13:30:00-05:00,777
2023-07-18 14:00:00-05:00,774
2023-07-18 14:30:00-05:00,903
