period_start,ghi
2021-05-14 13:35:00,1004.5
2021-05-14 13:40:00,1000.5200000000001
2021-05-14 13:45:00,994.4399999999999
2021-05-14 13:50:00,989.86
2021-05-14 13:55:00,986.9
2021-05-14 14:00:00,979.5200000000001
2021-05-14 14:05:00,971.76
2021-05-14 14:10:00,963.8799999999999
2021-05-14 14:15:00,954.7
2021-05-14 14:20:00,947.4
2021-05-14 14:25:00,938.04
2021-05-14 14:30:00,929.14
2021-05-14 14:35:00,921.86
2021-05-14 14:40:00,913.9
2021-05-14 14:45:00,904.22
2021-05-14 14:50:00,894.0200000000001
2021-05-14 14:55:00,883.6200000000001
2021-05-14 15:00:00,873.5200000000001
2021-05-14 15:05:00,861.5799999999999
2021-05-14 15:10:00,850.5
2021-05-14 15:15:00,839.54
2021-05-14 15:20:00,828.9
2021-05-14 15:25:00,815.62
2021-05-14 15:30:00,803.92
2021-05-14 15:35:00,789.4
2021-05-14 15:40:00,776.18
2021-05-14 15:45:00,761.96
2021-05-14 15:50:00,748.78
2021-05-14 15:55:00,732.54
2021-05-14 16:00:00,717.98
2021-05-14 16:05:00,702.6
2021-05-14 16:10:00,688.22
2021-05-14 16:15:00,673.48
2021-05-14 16:20:00,657.72
2021-05-14 16:25:00,642.6800000000001
2021-05-14 16:30:00,625.92
2021-05-14 16:35:00,610.0
2021-05-14 16:40:00,593.62
2021-05-14 16:45:00,575.38
2021-05-14 16:50:00,556.86
2021-05-14 16:55:00,540.7
2021-05-14 17:00:00,523.14
2021-05-14 17:05:00,504.62
2021-05-14 17:10:00,486.48
2021-05-14 17:15:00,467.18
2021-05-14 17:20:00,448.46000000000004
2021-05-14 17:25:00,429.78000000000003
2021-05-14 17:30:00,410.43999999999994
2021-05-14 17:35:00,390.91999999999996
2021-05-14 17:40:00,371.91999999999996
2021-05-14 17:45:00,352.91999999999996
2021-05-14 17:50:00,333.1
2021-05-14 17:55:00,314.4
2021-05-14 18:00:00,296.98
2021-05-14 18:05:00,278.91999999999996
2021-05-14 18:10:00,260.84000000000003
2021-05-14 18:15:00,243.78000000000003
2021-05-14 18:20:00,227.45999999999998
2021-05-14 18:25:00,211.48000000000002
2021-05-14 18:30:00,196.06
2021-05-14 18:35:00,181.0
2021-05-14 18:40:00,165.78
2021-05-14 18:45:00,151.16000000000003
2021-05-14 18:50:00,135.94
2021-05-14 18:55:00,120.97999999999999
2021-05-14 19:00:00,106.08
2021-05-14 19:05:00,91.28
2021-05-14 19:10:00,77.24
2021-05-14 19:15:00,64.36
2021-05-14 19:20:00,52.32000000000001
2021-05-14 19:25:00,41.239999999999995
2021-05-14 19:30:00,30.860000000000003
2021-05-14 19:35:00,17.080000000000002
2021-05-14 19:40:00,12.22
2021-05-14 19:45:00,8.7
2021-05-14 19:50:00,5.5
2021-05-14 19:55:00,3.44
2021-05-14 20:00:00,1.92
2021-05-14 20:05:00,0.82
2021-05-14 20:10:00,0.3
2021-05-14 20:15:00,0.0
2021-05-14 20:20:00,0.0
2021-05-14 20:25:00,0.0
2021-05-14 20:30:00,0.0
2021-05-14 20:35:00,0.0
2021-05-14 20:40:00,0.0
2021-05-14 20:45:00,0.0
2021-05-14 20:50:00,0.0
2021-05-14 20:55:00,0.0
2021-05-14 21:00:00,0.0
2021-05-14 21:05:00,0.0
2021-05-14 21:10:00,0.0
2021-05-14 21:15:00,0.0
2021-05-14 21:20:00,0.0
2021-05-14 21:25:00,0.0
2021-05-14 21:30:00,0.0
2021-05-14 21:35:00,0.0
2021-05-14 21:40:00,0.0
2021-05-14 21:45:00,0.0
2021-05-14 21:50:00,0.0
2021-05-14 21:55:00,0.0
2021-05-14 22:00:00,0.0
2021-05-14 22:05:00,0.0
2021-05-14 22:10:00,0.0
2021-05-14 22:15:00,0.0
2021-05-14 22:20:00,0.0
2021-05-14 22:25:00,0.0
